,tilename,UG1,UG2,NP1,NP2,NP3,NP4,NP5
2517,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_7_26_7.jpg,"(1.1305442967568524e-05, 0.00045567346387542784, 0.9999994039535522)","(3.452645280788147e-09, 0.004375094082206488, 0.9534235000610352)","(6.685244784421229e-07, 0.00014125299639999866, 0.9985162615776062)","(7.765697418449236e-09, 4.904140951111913e-06, 0.9517614841461182)","(3.9880737290332036e-07, 7.37297159503214e-05, 0.9580119252204895)","(2.0894660792691866e-06, 4.366914799902588e-05, 0.9863325953483582)","(7.74714425944012e-09, 1.131435396928282e-06, 0.9999494552612305)"
2518,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_1_7_23.jpg,"(0.007316902279853821, 0.9990068078041077, 0.0013286909088492393)","(0.07868625223636627, 0.9762253761291504, 0.0002100795099977404)","(0.010051385499536991, 0.9995021820068359, 3.664653195301071e-05)","(0.020915821194648743, 0.8957000374794006, 4.9800084525486454e-05)","(0.000998019240796566, 0.9996215105056763, 1.413440713804448e-05)","(0.00017881079111248255, 0.9999892711639404, 0.05718822777271271)","(0.015478160232305527, 0.9971127510070801, 0.0005666353390552104)"
2519,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_13_3_4.jpg,"(0.23565390706062317, 0.9967702627182007, 0.039462413638830185)","(0.033887024968862534, 0.9871613383293152, 0.009996775537729263)","(0.17274190485477448, 0.9976133108139038, 0.00013386884529609233)","(0.36934369802474976, 0.9170892238616943, 2.9736506235167326e-07)","(0.3025412857532501, 0.9933063387870789, 1.533623981231358e-05)","(0.011067519895732403, 0.9984277486801147, 0.0001118461659643799)","(0.29533496499061584, 0.9466997385025024, 0.00020782799401786178)"
2520,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_9.jpg,"(0.0006283227121457458, 0.07031028717756271, 0.9999873638153076)","(5.279007098124566e-08, 0.0004632475902326405, 0.9964259266853333)","(1.9348451587575255e-06, 0.3913661539554596, 0.9956024885177612)","(5.766628952130759e-09, 3.818779077846557e-05, 0.993593156337738)","(3.98518380961832e-07, 0.009420698508620262, 0.9994625449180603)","(8.525735029252246e-05, 0.9039335250854492, 0.39654237031936646)","(3.5673874663189054e-06, 0.09636722505092621, 0.9991322159767151)"
2521,cw15-29/cw15-29_3_37_7.jpg,"(0.0009715103660710156, 0.04048594832420349, 0.9988304972648621)","(0.0014158983249217272, 0.026993505656719208, 0.8002848029136658)","(0.0001794694398995489, 5.5435666581615806e-05, 0.9254677295684814)","(7.409018053294858e-06, 0.000282014167169109, 0.9977291226387024)","(9.740784889800125e-07, 1.4538948107656324e-06, 0.9997572302818298)","(0.00012579586473293602, 0.007736281957477331, 0.9978156089782715)","(1.8987100702361204e-05, 0.016509143635630608, 0.9999957084655762)"
2522,cw16-36/cw16-36_6_39_56.jpg,"(0.04304518923163414, 0.034037768840789795, 0.20642438530921936)","(0.008261289447546005, 0.04797597602009773, 0.11672994494438171)","(0.00010968770948238671, 0.03803342580795288, 0.2979472875595093)","(0.00020055504865013063, 0.039303503930568695, 0.009414074942469597)","(0.00017984287114813924, 0.17641693353652954, 0.2749132812023163)","(0.0020275136921554804, 0.05483197048306465, 0.6897609829902649)","(0.0015290043083950877, 0.07777410745620728, 0.8878623843193054)"
2523,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_17_16_44.jpg,"(0.026548773050308228, 0.9708534479141235, 9.321506513515487e-05)","(0.001992676639929414, 0.24006333947181702, 0.025248022750020027)","(0.008112221956253052, 0.6798902153968811, 8.393583266297355e-05)","(0.007098390720784664, 0.07168611884117126, 1.464960242003599e-08)","(0.20740735530853271, 0.03052355721592903, 0.0014479353558272123)","(0.0049601453356444836, 0.2851448655128479, 0.0028765969909727573)","(0.014227205887436867, 0.9095959067344666, 0.018600651994347572)"
2524,cw18-48/cw18-48_25_31_58.jpg,"(0.23241367936134338, 0.2350243628025055, 0.004861395340412855)","(0.36094552278518677, 0.05518670752644539, 0.023363659158349037)","(0.6642202734947205, 0.05258942395448685, 0.0034902773331850767)","(0.7561604380607605, 0.273099422454834, 0.00033731083385646343)","(0.9885187745094299, 0.007534451317042112, 0.00586316455155611)","(0.07417702674865723, 0.9370341300964355, 0.17788611352443695)","(0.9237868189811707, 0.18319204449653625, 0.13257257640361786)"
2525,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_23_17_29.jpg,"(0.004618400242179632, 0.280856728553772, 0.07564851641654968)","(0.09556973725557327, 0.15911270678043365, 2.2547094431502046e-06)","(0.0002178719878429547, 0.8957047462463379, 0.09727640450000763)","(0.0003904893819708377, 0.18233610689640045, 0.1536322981119156)","(0.1801205277442932, 0.5914161205291748, 0.0006984233041293919)","(0.0008767854305915534, 0.9998099207878113, 4.549552613752894e-06)","(0.0025940160267055035, 0.9477306008338928, 0.4550691545009613)"
2526,cw15-29/cw15-29_25_5_6.jpg,"(0.005041834432631731, 0.4960572123527527, 0.9973583817481995)","(0.0011485974537208676, 0.2742317020893097, 0.4499884843826294)","(0.0006815288797952235, 0.006593012250959873, 0.9931415915489197)","(0.001226169872097671, 0.1992834359407425, 0.7539631724357605)","(2.7594838684308343e-05, 0.21208836138248444, 0.996105968952179)","(0.004348237067461014, 0.00476333312690258, 0.98310387134552)","(0.0008785792160779238, 0.3478935658931732, 0.9788251519203186)"
2527,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_14_2.jpg,"(0.2137889862060547, 0.8536648750305176, 0.001135436468757689)","(0.8290468454360962, 0.1811448186635971, 1.2068419891875237e-05)","(0.07970572263002396, 0.9539051055908203, 5.1033148338319734e-05)","(0.10400710999965668, 0.6388108730316162, 0.0004943367093801498)","(0.07542654871940613, 0.8117036819458008, 4.43848284703563e-06)","(0.01670534722507, 0.998505711555481, 0.0031250775791704655)","(0.4256610572338104, 0.561751663684845, 0.000966603693086654)"
2528,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_23_8.jpg,"(0.0834386944770813, 0.9959506988525391, 0.015524258837103844)","(0.6466941833496094, 0.8777128458023071, 0.00023564846196677536)","(0.6200464367866516, 0.69394850730896, 4.427101885084994e-05)","(0.3441767692565918, 0.7101839184761047, 1.4545004887622781e-05)","(0.0727168545126915, 0.9232363700866699, 1.219757223225315e-06)","(0.13067734241485596, 0.9997392296791077, 3.219820064259693e-05)","(0.0722469687461853, 0.9844025373458862, 0.0002863447880372405)"
2529,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_8_30_25.jpg,"(0.012855981476604939, 0.8673340678215027, 0.3298864960670471)","(2.8966519494133536e-06, 0.015033750794827938, 0.28388798236846924)","(0.0006687010754831135, 0.06846955418586731, 0.028458410874009132)","(5.401398993853945e-06, 0.0004901121719740331, 0.010658823885023594)","(1.2001577488263138e-05, 0.011636617593467236, 0.0911911353468895)","(0.0005046864971518517, 5.9367073845351115e-05, 0.04286754131317139)","(0.0009991637198254466, 0.7458654046058655, 0.33063772320747375)"
2530,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_20_19_4.jpg,"(0.024294739589095116, 0.9294723868370056, 0.8451007604598999)","(0.0004905106034129858, 0.5508740544319153, 0.0031701624393463135)","(0.026256652548909187, 0.9747032523155212, 0.00023143956786952913)","(0.00021245663810987025, 0.12558364868164062, 1.4602671853936044e-06)","(0.00086946104420349, 0.006375757046043873, 0.7605884671211243)","(0.014681661501526833, 0.8267697095870972, 0.0024373019114136696)","(0.0031917898450046778, 0.9831311702728271, 0.0012489608488976955)"
2531,cw18-48/cw18-48_19_30_22.jpg,"(0.0001587575679877773, 0.021136224269866943, 0.999996542930603)","(0.0033256602473556995, 0.0005249599926173687, 0.9299619197845459)","(4.1143011912936345e-05, 1.181815878226189e-05, 0.9994602799415588)","(2.0421052795427386e-06, 0.000162000535055995, 0.9833908081054688)","(3.582168574212119e-05, 0.00020158264669589698, 0.9924750924110413)","(0.008304924704134464, 0.0089032594114542, 0.9356896877288818)","(0.0002536424726713449, 0.0037633483298122883, 0.9994447827339172)"
2532,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_11_29_25.jpg,"(0.4124758839607239, 0.8514555096626282, 0.0002695870934985578)","(0.39364752173423767, 0.8630564212799072, 0.0007687624311074615)","(0.7183209657669067, 0.7647838592529297, 0.0001610235485713929)","(0.8926380276679993, 0.22747252881526947, 1.6351143131032586e-05)","(0.99519944190979, 0.2603617310523987, 4.496737801673589e-06)","(0.48635825514793396, 0.8701997995376587, 0.0005769102717749774)","(0.8864282369613647, 0.16688698530197144, 3.0577728011849103e-06)"
2533,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_16_11_3.jpg,"(0.9744019508361816, 0.2069455236196518, 0.015264281071722507)","(0.9989349246025085, 0.1845495104789734, 2.2635404093307443e-06)","(0.9918127059936523, 0.5675467848777771, 0.00012694785255007446)","(0.7883638739585876, 0.5027554035186768, 0.00013726063480135053)","(0.9982574582099915, 0.11523178219795227, 7.790526979079004e-06)","(0.9889492988586426, 0.7034727931022644, 0.00656289653852582)","(0.9663254022598267, 0.20387381315231323, 0.0010110302828252316)"
2534,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_3_26_3.jpg,"(0.0056070792488753796, 0.003196266945451498, 0.9947459697723389)","(4.483460361370817e-05, 9.575918375048786e-05, 0.9996709823608398)","(0.00011541748972376809, 0.0010578951332718134, 0.9999008178710938)","(2.9339739171518886e-07, 6.643692177021876e-05, 0.9506593942642212)","(0.00020902474352624267, 0.0001316713314736262, 0.9785056710243225)","(0.002213183091953397, 0.005858616437762976, 0.9291852116584778)","(0.00010301966540282592, 0.141505166888237, 0.9982255101203918)"
2535,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_4_24_53.jpg,"(0.8022142052650452, 0.889350175857544, 0.000170855681062676)","(0.3893260061740875, 0.947432279586792, 0.00021266701514832675)","(0.9929113984107971, 0.4389687776565552, 0.0013114454923197627)","(0.9601714611053467, 0.4937249422073364, 8.875002066588422e-08)","(0.43063536286354065, 0.9776907563209534, 0.001082907197996974)","(0.08080995827913284, 0.9989317059516907, 0.00058591621927917)","(0.14948329329490662, 0.9530906081199646, 4.857191015616991e-06)"
2536,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_25_23.jpg,"(1.406471255904762e-06, 0.025185151025652885, 1.0)","(2.6714451450970955e-05, 7.456497405655682e-05, 0.9999972581863403)","(0.004039368592202663, 0.024007711559534073, 0.999966025352478)","(2.6888557158599724e-07, 3.911473868356552e-06, 0.9999957084655762)","(0.0003038237919099629, 0.44802117347717285, 0.999521017074585)","(2.6481524400878698e-05, 0.1838550716638565, 0.9999991655349731)","(9.161517482425552e-07, 0.0001156401340267621, 1.0)"
2537,cw15-29/cw15-29_11_30_2.jpg,"(6.741535617038608e-05, 3.3730705126799876e-06, 0.9999997615814209)","(1.700127359072212e-05, 0.001047563273459673, 0.9998998641967773)","(8.25363713374827e-06, 5.26587825788738e-07, 0.999779999256134)","(1.8275930768751891e-09, 7.505967460019747e-06, 0.9988617897033691)","(3.879954135754815e-07, 0.0002743055811151862, 0.9985318183898926)","(0.0014639621367678046, 0.0003280224627815187, 0.997572124004364)","(4.3495961676853767e-07, 2.5146259758912493e-06, 0.9999998807907104)"
2538,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_4_18_30.jpg,"(0.024535344913601875, 0.9990772008895874, 0.019816705957055092)","(0.015272089280188084, 0.9856526851654053, 0.0003244896943215281)","(0.04964125528931618, 0.9987805485725403, 0.0035337277222424746)","(0.019565999507904053, 0.8900408148765564, 0.009162338450551033)","(0.00422216672450304, 0.9987616539001465, 0.014694967307150364)","(0.0015767141012474895, 0.9999135732650757, 0.0003938332374673337)","(0.057480938732624054, 0.9720454216003418, 0.0003278048534411937)"
2539,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_12_9_35.jpg,"(0.015405981801450253, 0.7362883687019348, 0.1852547824382782)","(0.002975876908749342, 0.9432187080383301, 0.2130671739578247)","(0.06385761499404907, 0.9882580637931824, 0.0005616997950710356)","(0.4574405550956726, 0.4920147955417633, 1.6251417036983185e-05)","(0.08670784533023834, 0.8229776620864868, 0.0005173917743377388)","(0.06583129614591599, 0.9952050447463989, 0.0021279591601341963)","(0.1472538411617279, 0.8272679448127747, 0.00033096704282797873)"
2540,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_5_17_6.jpg,"(0.01071703340858221, 5.381515438784845e-05, 0.9999998807907104)","(1.628404106668313e-06, 0.0002041813568212092, 0.9999959468841553)","(9.763058415046544e-07, 1.5826301023480482e-05, 0.9999852180480957)","(2.481814362909063e-07, 5.7816156186163425e-05, 0.9610648155212402)","(2.558957135079254e-08, 7.066959824442165e-06, 0.9999998807907104)","(0.007061267737299204, 0.004637362901121378, 0.9999650716781616)","(5.795367314931354e-07, 0.0002717851020861417, 0.9999982118606567)"
2541,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_11_26_39.jpg,"(1.939402409334434e-06, 0.8551410436630249, 0.9998043179512024)","(1.100197891901189e-06, 0.005692483391612768, 0.9999395608901978)","(3.227828710805625e-05, 0.08418246358633041, 0.9976300001144409)","(0.0011021113023161888, 0.009958669543266296, 0.11187409609556198)","(0.0037466539070010185, 0.04956899210810661, 0.9446878433227539)","(2.030245195783209e-05, 0.1738106608390808, 0.9985211491584778)","(0.0001843358186306432, 0.3613291084766388, 0.9769417643547058)"
2542,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_19_24_16.jpg,"(0.21056319773197174, 0.9664014577865601, 0.06056816875934601)","(0.1334584802389145, 0.24333104491233826, 0.12246281653642654)","(0.08141156286001205, 0.998245358467102, 2.054564538411796e-05)","(0.32194429636001587, 0.7320923805236816, 0.0018153050914406776)","(0.9832809567451477, 0.06618700176477432, 0.0004593153134919703)","(0.9845514893531799, 0.8494933843612671, 2.965664680232294e-05)","(0.18121713399887085, 0.9355548024177551, 0.0001873304572654888)"
2543,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_14_28_36.jpg,"(0.04160093888640404, 0.9749361276626587, 0.00014355989696923643)","(0.0743977278470993, 0.8621621131896973, 0.0002402387181064114)","(0.0163948405534029, 0.9993915557861328, 8.986060606730462e-08)","(0.315095454454422, 0.5530825257301331, 8.953008290291109e-08)","(0.004395916126668453, 0.9898657202720642, 1.4308669051388279e-05)","(0.002413995796814561, 0.999947190284729, 1.5160443354034214e-06)","(0.03407767042517662, 0.9841633439064026, 3.697298598126508e-05)"
2544,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_7_27_6.jpg,"(0.6829553246498108, 0.9207586050033569, 0.0017251578392460942)","(0.18633008003234863, 0.44514092803001404, 0.0007257263059727848)","(0.11004040390253067, 0.9871020913124084, 0.0005744668305851519)","(0.11806231737136841, 0.9490554332733154, 0.121279276907444)","(0.7216610312461853, 0.6036434173583984, 8.628833165857941e-05)","(0.8599596619606018, 0.705062985420227, 7.917533366708085e-05)","(0.4792969226837158, 0.7929259538650513, 0.0059776296839118)"
2545,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_28_17_13.jpg,"(0.0024334187619388103, 0.04988513141870499, 0.9997480511665344)","(0.004669340327382088, 0.00016024208161979914, 0.9309852123260498)","(0.00016434489225503057, 0.0008041173568926752, 0.9999746084213257)","(1.4034673768037464e-05, 0.001314869150519371, 0.7001394629478455)","(0.00012697302736341953, 0.00016244013386312872, 0.9988158941268921)","(0.02607589028775692, 0.010558253154158592, 0.8170912861824036)","(1.234722640219843e-05, 5.605397745966911e-06, 0.9999266862869263)"
2546,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_21_30_53.jpg,"(0.07414834201335907, 0.9715885519981384, 0.0022209107410162687)","(0.0722198411822319, 0.9791651964187622, 0.0027491759974509478)","(0.1623547524213791, 0.9870824813842773, 3.3002074815158267e-06)","(0.06980447471141815, 0.9694315791130066, 1.8682740687836485e-08)","(0.09494058042764664, 0.9950780868530273, 1.7127962564700283e-05)","(0.014536418952047825, 0.9989416003227234, 0.0006432575173676014)","(0.3342941701412201, 0.9807738661766052, 0.00018715012993197888)"
2547,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_18_16_20.jpg,"(0.07681175321340561, 0.9977154731750488, 0.00014105071022640914)","(0.22965887188911438, 0.9946598410606384, 5.265945219434798e-05)","(0.021169915795326233, 0.9992233514785767, 4.323134271544404e-05)","(0.015228736214339733, 0.9683746099472046, 5.516093537494271e-08)","(0.4422183930873871, 0.9805027842521667, 0.00010082902008434758)","(0.07280761003494263, 0.9605202078819275, 0.0009667183039709926)","(0.044358838349580765, 0.984495997428894, 0.00126614049077034)"
2548,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_6_30_25.jpg,"(0.9991137385368347, 0.0023843026719987392, 0.00011582543083932251)","(0.9885408282279968, 0.03624413534998894, 4.3183517846046016e-06)","(0.9917798638343811, 0.006059569306671619, 7.161876425243463e-09)","(0.9675267934799194, 0.03626822307705879, 3.978575477958657e-06)","(0.9986257553100586, 0.008127122186124325, 9.67350160863134e-07)","(0.9999713897705078, 0.32269784808158875, 5.219872764428146e-05)","(0.9991125464439392, 0.0066452790051698685, 1.288958537770668e-05)"
2549,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_10_15_5.jpg,"(0.00012543292541522533, 0.1376451998949051, 0.9999288320541382)","(1.7934809875441715e-05, 4.681629070546478e-05, 0.999971866607666)","(2.3052716642268933e-05, 0.49717894196510315, 0.9812852144241333)","(0.00041323219193145633, 0.012881404720246792, 0.02878526598215103)","(1.191898263641633e-06, 0.02671167440712452, 0.9989160299301147)","(0.001740136882290244, 0.5203279256820679, 0.7019451260566711)","(3.062027872147155e-06, 0.667993426322937, 0.9999383687973022)"
2550,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_7_25_17.jpg,"(2.001980465138331e-05, 0.08169420808553696, 0.9999994039535522)","(0.0007058574119582772, 0.007307781372219324, 0.8201470375061035)","(0.0001301856682403013, 0.00039250063127838075, 0.9966872334480286)","(5.721761681343196e-06, 0.0002206989302067086, 0.8961380124092102)","(0.0006032256642356515, 0.72771817445755, 0.1256578117609024)","(0.002270277589559555, 0.008553408086299896, 0.696281373500824)","(3.4080650834766857e-07, 8.704476931598037e-05, 0.9999561309814453)"
2551,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_10_16_42.jpg,"(0.027764953672885895, 0.9968324303627014, 0.004527075681835413)","(0.006912375800311565, 0.9998637437820435, 0.001303922850638628)","(0.03282307833433151, 0.9967355132102966, 0.004378786776214838)","(0.0005802916130051017, 0.9897749423980713, 0.0003109061799477786)","(0.0006790130864828825, 0.9991117119789124, 0.0003626121615525335)","(0.023971254006028175, 0.9995003938674927, 0.0005661081522703171)","(0.0266676377505064, 0.997602641582489, 0.002590264892205596)"
2552,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_22_16_16.jpg,"(0.03338153287768364, 0.9780250787734985, 0.6595664620399475)","(1.2164417967142072e-05, 0.2767961025238037, 0.0009077508002519608)","(0.00011710634134942666, 0.7951978445053101, 0.002510746708139777)","(0.002100816462188959, 0.21841056644916534, 0.005027812905609608)","(3.727973671630025e-05, 0.3381747305393219, 0.002775743370875716)","(0.00027376553043723106, 0.972228467464447, 7.867323802202009e-06)","(0.00037298526149243116, 0.9557704329490662, 0.8496565222740173)"
2553,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_16_3_53.jpg,"(0.0005668519879691303, 0.0003493068797979504, 0.9999998807907104)","(5.839514051331207e-05, 0.007621975149959326, 0.5271986126899719)","(1.2484184708227986e-06, 0.45325157046318054, 0.9992365837097168)","(1.0073647160879773e-07, 4.3102947529405355e-05, 0.339028000831604)","(4.059084858454298e-06, 0.005573980510234833, 0.7811838388442993)","(0.014659659005701542, 0.1336158663034439, 0.9670917391777039)","(1.7982171129915514e-06, 5.432193120213924e-06, 0.9996492862701416)"
2554,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_22_28_37.jpg,"(0.9869678616523743, 0.4946053624153137, 0.00023234830587171018)","(0.17662811279296875, 0.9269028306007385, 2.57763185800286e-05)","(0.37107476592063904, 0.920346736907959, 9.465107950745733e-07)","(0.1269252598285675, 0.6029739379882812, 3.3121906994892925e-07)","(0.22426976263523102, 0.6020350456237793, 2.575504004198592e-05)","(0.5590456128120422, 0.8478835821151733, 0.0026218248531222343)","(0.9333474040031433, 0.529808759689331, 0.00017250757082365453)"
2555,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_17_25_63.jpg,"(0.9823993444442749, 0.35105863213539124, 2.3484952180297114e-05)","(0.9885762333869934, 0.5512440204620361, 1.1071541621276992e-06)","(0.9959096908569336, 0.6805739998817444, 6.225720881047891e-07)","(0.9302653074264526, 0.7158409953117371, 4.907706170342863e-06)","(0.9981599450111389, 0.1955845057964325, 1.8646426624968626e-08)","(0.9999657869338989, 0.8259883522987366, 8.905992054941692e-10)","(0.831238329410553, 0.8158643841743469, 2.151356966351159e-05)"
2556,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_13_34_10.jpg,"(0.26987776160240173, 0.9337977766990662, 0.003811344038695097)","(0.21437638998031616, 0.9505964517593384, 0.002865241374820471)","(0.4592244029045105, 0.9431770443916321, 1.8885304598370567e-05)","(0.07326804846525192, 0.7317604422569275, 0.0002081542188534513)","(0.023881079629063606, 0.9930017590522766, 5.2021913887756455e-08)","(0.005067467223852873, 0.9999388456344604, 0.00016189305461011827)","(0.39785000681877136, 0.8206751942634583, 0.004707901272922754)"
2557,cw13-0/cw13-0_17_20_29.jpg,"(0.0009464140166528523, 0.0005761065986007452, 0.9980412721633911)","(0.004267912358045578, 0.0009148942772299051, 0.13489438593387604)","(4.046351750730537e-05, 0.00011640939192147925, 0.8449152708053589)","(6.2775575315754395e-06, 0.00437720725312829, 0.4476960599422455)","(0.00012983012129552662, 5.101600436319131e-06, 0.827201247215271)","(0.003464061999693513, 0.0026380110066384077, 0.8921510577201843)","(0.0010899895569309592, 0.011853846721351147, 0.9862566590309143)"
2558,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_8_25_30.jpg,"(2.5377721613040194e-05, 1.9774592146859504e-05, 0.9980244636535645)","(3.4860539455117134e-10, 3.615117384470068e-05, 0.9999996423721313)","(3.6063869668367943e-09, 1.102182238810201e-07, 0.999508261680603)","(1.506703511955365e-10, 5.45248383332364e-07, 0.9940651655197144)","(2.4277083815471556e-11, 6.158670657896437e-06, 0.9997997879981995)","(3.905244011548348e-05, 4.978430183655291e-07, 0.9996852874755859)","(2.809437960049621e-10, 5.078764843347017e-06, 0.9999954700469971)"
2559,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_15_9_62.jpg,"(0.9381187558174133, 0.12701904773712158, 0.009152404963970184)","(0.9976440072059631, 0.22573843598365784, 1.734682086862449e-06)","(0.9996324777603149, 0.028441593050956726, 1.4699103303428274e-05)","(0.9983600974082947, 0.14635245501995087, 8.458002298539213e-07)","(0.9981517195701599, 0.09149198979139328, 4.569670636556111e-05)","(0.9922337532043457, 0.9703359603881836, 8.688773959875107e-06)","(0.9929936528205872, 0.1692138910293579, 9.270093141822144e-05)"
2560,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_4_23_9.jpg,"(0.001192589639686048, 0.9964465498924255, 4.113101113034645e-06)","(0.007713535334914923, 0.9963537454605103, 2.8767211915692315e-05)","(0.005727970972657204, 0.997329831123352, 2.2252967468716633e-08)","(0.003228503279387951, 0.5876310467720032, 6.279823883126312e-10)","(0.009118595160543919, 0.9547954797744751, 2.581459284556331e-06)","(0.013052104040980339, 0.9956295490264893, 1.306837748416001e-05)","(0.002616157755255699, 0.9979066848754883, 4.186165097053163e-05)"
2561,NA7UCDtemporalgyri _4G8/NA7UCDtemporalgyri _4G8_2_22_2.jpg,"(0.005812964402139187, 0.5605671405792236, 0.9993429780006409)","(0.07732842117547989, 0.42375898361206055, 0.0007462706998921931)","(0.048492494970560074, 0.1302274614572525, 0.049523621797561646)","(0.44361355900764465, 0.04457060620188713, 0.00028575462056323886)","(0.052883800119161606, 0.5413641333580017, 0.4188152849674225)","(0.8909099102020264, 0.09819010645151138, 0.6225212216377258)","(0.010043005459010601, 0.5024192929267883, 0.31355300545692444)"
2562,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_5_17_9.jpg,"(0.01001792959868908, 0.9830092787742615, 0.1154266893863678)","(0.012185228057205677, 0.4899498522281647, 0.003608336905017495)","(0.005852402187883854, 0.9937384128570557, 0.0014545571757480502)","(0.0007721768342889845, 0.13751403987407684, 0.00017939379904419184)","(0.17316769063472748, 0.2776781916618347, 0.003358809044584632)","(0.0017830542055889964, 0.7182052135467529, 0.02509528025984764)","(0.02062375470995903, 0.9771565794944763, 0.11046059429645538)"
2563,cw16-36/cw16-36_3_28_4.jpg,"(0.0015987798105925322, 0.02704404667019844, 0.9796247482299805)","(0.00010603025293676183, 0.0028174312319606543, 0.5319759249687195)","(0.004042106680572033, 0.038000039756298065, 0.004760128911584616)","(0.018115278333425522, 0.0471176877617836, 0.18890613317489624)","(0.00817801058292389, 0.0006292437901720405, 0.024683713912963867)","(0.006752622779458761, 0.07673315703868866, 0.3103295564651489)","(0.00037314766086637974, 0.005884939804673195, 0.9969648718833923)"
2564,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_10_42.jpg,"(0.893473207950592, 0.9867745637893677, 0.0041598789393901825)","(0.9992371797561646, 0.7913824319839478, 1.8902806004916783e-06)","(0.9726312756538391, 0.9497041702270508, 6.373912037815899e-05)","(0.7723795175552368, 0.9472577571868896, 0.00019387382781133056)","(0.8638693690299988, 0.9758172631263733, 5.013161626266083e-06)","(0.9372548460960388, 0.9978722333908081, 0.00031361315632238984)","(0.7450282573699951, 0.976063072681427, 0.00033518517739139497)"
2565,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_1_25_0.jpg,"(0.0006292437901720405, 0.0003588835534173995, 0.9976010918617249)","(2.1620129686539258e-08, 2.57175205575777e-08, 0.9999990463256836)","(9.765591002519614e-09, 1.1437461466812238e-07, 0.9999463558197021)","(6.655125162069453e-08, 3.3621381589910015e-06, 0.8532540798187256)","(1.3326699466187364e-10, 1.310698882761585e-09, 0.9999973773956299)","(1.621622868697159e-05, 2.795535692712292e-05, 0.9904536008834839)","(2.894595070301875e-07, 4.847949185204925e-06, 0.999014139175415)"
2566,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_11_1_0.jpg,"(0.0005928579485043883, 0.00026177745894528925, 0.9999994039535522)","(9.823484248272507e-09, 1.3650554464561537e-08, 0.9999990463256836)","(1.5432999589393148e-06, 1.3618796401715372e-06, 0.999835729598999)","(4.7517432903987356e-06, 2.482972377038095e-06, 0.873480498790741)","(2.816152800733107e-06, 5.185356144465914e-07, 0.9999593496322632)","(0.00016196872456930578, 3.7714842619607225e-05, 0.9999662637710571)","(8.744148658479389e-07, 0.00012663796951528639, 0.9999920129776001)"
